unit_number	unit_name	section_number	section_name	content	level	has_analysis	prerequisites	difficulty_level	difficulty_score	difficulty_confidence	complexity_factors	bloom_level	bloom_confidence	cognitive_processes	educational_standards	cross_disciplinary_connections
Unit 2	Mechanics	2.81	Kepler’s Second Law	"Equal areas.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 7.1: Kepler’s Laws of Planetary Motion; College Physics 2e, Chapter 6.6: Satellites and Kepler’s Laws: An Argument for Simplicity"	undergraduate	Yes	Vector quantities; Angular momentum; Conservation of angular momentum; Basic geometry (areas); Circular and elliptical motion; Newton's laws of motion; Gravitational force; Radial vectors	intermediate	6	0.85	Requires understanding of angular momentum conservation; Involves visualization of abstract geometric concepts; Needs basic calculus concepts to fully understand; Combines multiple physics principles; Requires spatial reasoning skills	understand	0.9	interpreting; explaining; describing; recognizing relationships	NGSS: HS-PS2-4; AP Physics: 6.B.2; AP Physics C: Mechanics: 3.C.1	Mathematics (strong); Computer Science (moderate); History (moderate); Astronomy (strong); Engineering (strong)
Unit 2	Mechanics	2.82	Kepler’s Third Law	"Period-radius relation.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 7.1: Kepler’s Laws of Planetary Motion; College Physics 2e, Chapter 6.6: Satellites and Kepler’s Laws: An Argument for Simplicity"	undergraduate	Yes	Newton's Law of Universal Gravitation; Circular motion and centripetal force; Basic algebra and proportions; Square roots and exponents; Orbital motion concepts; Kepler's First and Second Laws; Basic trigonometry	intermediate	6	0.9	"Requires understanding of mathematical relationships; Involves proportional reasoning; Uses square and cube relationships; Requires basic understanding of orbital mechanics; Connects multiple physics concepts (gravity, circular motion, orbital periods)"	understand	0.9	interpreting mathematical relationships; explaining proportional relationships; recognizing patterns; describing orbital behavior	NGSS: HS-PS2-4; AP Physics 2: 3.B.1; AP Physics C: Mechanics: 3.G.1	Mathematics (strong); Astronomy (strong); History (moderate); Computer Science (moderate); Engineering (moderate)
Unit 2	Mechanics	2.83	Satellite Orbits	"Circular, elliptical orbits.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 7.1: Kepler’s Laws of Planetary Motion; College Physics 2e, Chapter 6.6: Satellites and Kepler’s Laws: An Argument for Simplicity"	undergraduate	Yes	Newton's Laws of Motion; Universal Gravitation; Circular Motion; Vector Mathematics; Basic Trigonometry; Conservation of Angular Momentum; Conservation of Energy; Basic Algebra; Centripetal Force	intermediate	6	0.85	Requires understanding of gravitational forces; Involves circular and elliptical motion concepts; Uses mathematical models and equations; Requires visualization of 3D orbital paths; Incorporates Kepler's laws	analyze	0.9	"differentiate between circular and elliptical orbits; calculate orbital parameters; integrate multiple physics concepts (gravity, motion, energy); examine relationships between orbital elements"	NGSS: HS-PS2-4; AP Physics C: Mechanics: III.B.1; AP Physics C: Mechanics: III.B.2	Mathematics (strong); History (moderate); Computer Science (strong); Engineering (strong); Geography (moderate); Astronomy (strong)
Unit 2	Mechanics	2.84	Multi-Body Orbits	"Gravitational interactions.
**Level**: Undergraduate, Graduate
**Reference**: University Physics Volume 1, Chapter 13.5: Kepler’s Laws of Planetary Motion"	undergraduate	Yes	Newton's Laws of Motion; Gravitation and Newton's Law of Universal Gravitation; Vector Calculus; Differential Equations; Classical Mechanics; Kepler's Laws of Planetary Motion; Conservation of Angular Momentum; Conservation of Energy; Center of Mass Concepts; Two-Body Problem Understanding	advanced	8	0.9	Multiple interacting gravitational fields; Complex differential equations; Non-linear dynamics; Three-body problem complexity; Vector calculus requirements; Orbital mechanics fundamentals; Perturbation theory	analyze	0.9	differentiate gravitational forces between multiple bodies; organize complex orbital relationships; integrate Newton's laws with gravitational interactions; calculate multi-body gravitational effects; deconstruct complex orbital systems	NGSS: HS-PS2-4; AP Physics C: Mechanics: III.B.1; AP Physics C: Mechanics: III.B.2	Mathematics (strong); Computer Science (strong); Astronomy (strong); Engineering (strong); Chemistry (moderate); Biology (weak)
Unit 2	Mechanics	2.85	Gravitational Potential Energy	"Field energy.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 9.2: Mechanical Energy and Conservation of Energy; College Physics 2e, Chapter 7.3: Gravitational Potential Energy"	undergraduate	Yes	Concept of energy and work; Newton's law of universal gravitation; Vector calculus (for advanced treatment); Basic algebra and arithmetic; Understanding of conservative forces; Concept of potential energy; Work-energy theorem; Understanding of scalar fields	intermediate	6	0.85	Abstract concept of field energy; Requires understanding of potential energy fundamentals; Mathematical calculations involving integration; Conceptual visualization of energy in space; Connection between force fields and energy storage	analyze	0.85	differentiating between kinetic and potential energy; organizing energy conversion concepts; calculating gravitational potential energy; relating gravitational field to stored energy; integrating work and energy principles	NGSS: HS-PS3-2; AP Physics 1: 5.B; AP Physics C: Mechanics: 3.C.1	Mathematics (strong); Chemistry (strong); Astronomy (strong); Engineering (moderate); Environmental Science (moderate)
Unit 2	Mechanics	2.86	Orbital Energy	"Kinetic, potential balance.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 7.1: Kepler’s Laws of Planetary Motion; College Physics 2e, Chapter 6.6: Satellites and Kepler’s Laws: An Argument for Simplicity"	undergraduate	Yes	Newton's laws of motion; Gravitational force; Circular motion; Conservation of energy; Potential energy concepts; Kinetic energy concepts; Basic algebra and trigonometry; Vector mathematics	intermediate	6	0.85	Requires understanding of gravitational potential energy; Involves mathematical relationships between kinetic and potential energy; Needs comprehension of conservation of energy principles; Requires visualization of orbital dynamics; Involves basic calculus concepts for deeper understanding	analyze	0.9	differentiating between kinetic and potential energy components; organizing relationships between orbital parameters; integrating concepts of energy conservation; examining how energy types balance in orbital motion	NGSS: HS-PS2-4; AP Physics 1: 3.B.1; AP Physics C: Mechanics: III.B.3	Mathematics (strong); Chemistry (strong); Astronomy (strong); Engineering (moderate); Computer Science (moderate)
Unit 2	Mechanics	2.87	Escape Velocity	"Escape speed.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 7.2: Newton’s Law of Universal Gravitation; College Physics 2e, Chapter 6.5: Newton’s Universal Law of Gravitation"	undergraduate	Yes	Newton's Law of Universal Gravitation; Gravitational Potential Energy; Conservation of Energy; Basic Algebra and Square Roots; Vector Operations; Kinematics; Work and Energy Concepts	intermediate	6	0.9	"Requires understanding of gravitational potential energy; Involves square root calculations; Combines multiple physics concepts (gravity, velocity, energy); Requires understanding of infinity concept; Needs basic calculus understanding for derivation"	apply	0.9	calculate escape velocity using formula; interpret physical conditions; apply gravitational concepts; solve numerical problems	NGSS: HS-PS2-4; AP Physics 1: 3.C.1.1; AP Physics C: Mechanics: 6.A.1	Mathematics (strong); Astronomy (strong); Engineering (strong); Computer Science (moderate); Earth Science (moderate); Chemistry (weak)
Unit 2	Mechanics	2.88	Ocean Tides	"Moon, Sun effects.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 7.2: Newton’s Law of Universal Gravitation; College Physics 2e, Chapter 6.5: Newton’s Universal Law of Gravitation"	undergraduate	Yes	Newton's Law of Universal Gravitation; Basic trigonometry; Forces and vectors; Circular motion; Gravitational potential energy; Basic orbital mechanics; Conservation of angular momentum	intermediate	6	0.85	Multiple gravitational forces involved (Moon and Sun); Requires understanding of gravitational fields; Involves periodic motion concepts; Requires spatial visualization; Combines multiple physics principles	analyze	0.9	differentiating gravitational effects; organizing relationships between forces; attributing tidal effects to multiple bodies; explaining cause-effect relationships	NGSS: HS-ESS1-4; NGSS: HS-PS2-4; AP Physics 1: 3.C.1.1; AP Physics 2: 3.G.1.1	Mathematics (strong); Geography (strong); Astronomy (strong); Environmental Science (moderate); Biology (moderate); Economics (weak)
Unit 2	Mechanics	2.89	Einstein’s Gravity	"General relativity.
**Level**: High School, Undergraduate, Graduate
**Reference**: OpenStax High School Physics, Chapter 7.2: Newton’s Law of Universal Gravitation and Einstein’s Theory of General Relativity; College Physics 2e, Chapter 34.2: General Relativity and Quantum Gravity; University Physics Volume 1, Chapter 13.7: Einstein’s Theory of Gravity# Comprehensive Physics Curriculum (High School to Graduate Level)"	undergraduate	Yes	Special relativity; Classical mechanics; Vector calculus; Differential geometry; Newton's law of universal gravitation; Tensor analysis; Basic quantum mechanics; Linear algebra; Differential equations	expert	9	0.95	Requires advanced mathematical background (tensor calculus); Abstract conceptual framework challenging classical intuition; Involves curved spacetime geometry; Requires understanding of differential geometry; Complex mathematical formalism (Einstein field equations); Counterintuitive concepts like spacetime curvature	analyze	0.9	differentiating between Newtonian and relativistic gravity; organizing complex spacetime concepts; attributing gravitational effects to spacetime curvature; comparing classical and modern physics frameworks	NGSS: HS-PS2-4; AP Physics C: Mechanics: III.B.1; AP Physics 2: 1.E.1	Mathematics (strong); Philosophy (strong); Astronomy (strong); History (moderate); Computer Science (moderate); Engineering (moderate)
Unit 3	Fluid Mechanics	3.1	Fluid Incompressibility	"Resistance to compression.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.1: What Is a Fluid?"	undergraduate	Yes				0.85			0.85			
Unit 3	Fluid Mechanics	3.2	Fluid Viscosity	"Internal friction.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 12.4: Viscosity and Laminar Flow; Poiseuille’s Law"	undergraduate	Yes	"Newton's laws of motion; Basic fluid properties (density, pressure); Force and friction concepts; Basic calculus (for college level); States of matter; Temperature concepts; Vector quantities; Flow rates and velocity"	intermediate	6	0.85	Requires understanding of molecular interactions; Involves mathematical relationships (Poiseuille's Law); Abstract concept of internal friction; Multiple variables affecting viscosity; Temperature dependence understanding required	understand	0.9	explaining; interpreting; describing; classifying	NGSS: HS-PS2-1; AP Physics: 5.E.1; AP Physics: 6.B.1	Mathematics (strong); Chemistry (strong); Biology (strong); Engineering (strong); Earth Science (moderate); Medicine (moderate)
Unit 3	Fluid Mechanics	3.3	Liquids	"Liquid properties.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.1: What Is a Fluid?"	undergraduate	Yes				0.85			0.85			
Unit 3	Fluid Mechanics	3.4	Gases	"Gas properties.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 13.3: The Ideal Gas Law"	undergraduate	Yes				0.85			0.85			
Unit 3	Fluid Mechanics	3.5	Density	"Mass per volume.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.2: Density"	undergraduate	Yes				0.85			0.85			
Unit 3	Fluid Mechanics	3.6	Atmospheric Pressure	"Atmosphere pressure.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.3: Pressure"	undergraduate	Yes				0.85			0.85			
Unit 3	Fluid Mechanics	3.7	Hydrostatic Pressure	"Fluid rest pressure.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.4: Variation of Pressure with Depth in a Fluid"	undergraduate	Yes	Basic algebra; Concept of density; Force and pressure fundamentals; Vector quantities; SI units and unit conversion; Newton's laws of motion; Basic calculus (for college level)	intermediate	6	0.9	"Requires understanding of pressure concepts; Involves mathematical formulas (P = P₀ + ρgh); Needs visualization of fluid behavior; Connects multiple physics concepts (density, gravity, depth); Applications require problem-solving skills"	understand	0.9	explaining relationships; interpreting basic principles; describing physical phenomena; recognizing patterns	NGSS: HS-PS2-6; AP Physics 2: 2.B.1; AP Physics 2: 2.B.2	Mathematics (strong); Chemistry (strong); Biology (strong); Engineering (strong); Earth Science (moderate); Environmental Science (moderate)
Unit 3	Fluid Mechanics	3.8	Gauge Pressure	"Relative pressure.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.6: Gauge Pressure, Absolute Pressure, and Pressure Measurement"	undergraduate	Yes	"Basic algebra; Understanding of atmospheric pressure; Concept of force per unit area; Understanding of pressure units (Pascal, psi, etc.); Basic fluid statics; Concept of absolute pressure"	intermediate	5	0.9	Requires understanding of pressure concepts; Involves relative measurements; Needs comprehension of atmospheric pressure as reference; Includes mathematical relationships; Requires understanding of positive and negative gauge pressures	understand	0.9	interpreting; explaining; comparing; differentiating	NGSS: HS-PS2-6; AP Physics: 5.B.1; AP Physics: 5.B.7	Mathematics (strong); Chemistry (strong); Engineering (strong); Earth Science (moderate); Biology (moderate)
Unit 3	Fluid Mechanics	3.9	Absolute Pressure	"Total pressure.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.6: Gauge Pressure, Absolute Pressure, and Pressure Measurement"	undergraduate	Yes	"Basic algebra; Understanding of atmospheric pressure; Concept of force per unit area; Units of pressure (Pascal, atm, etc.); Understanding of gauge pressure; Basic fluid statics"	intermediate	6	0.85	Requires understanding of multiple pressure concepts; Involves mathematical calculations; Needs grasp of Pascal's principle; Requires understanding of atmospheric pressure; Involves unit conversions	understand	0.9	interpreting; explaining; comparing; classifying	NGSS: HS-PS2-6; AP Physics 1: 2.B.1.1; AP Physics 2: 5.B.10	Mathematics (strong); Chemistry (strong); Engineering (strong); Earth Science (moderate); Biology (moderate)
Unit 3	Fluid Mechanics	3.10	Barometers	"Atmospheric measurement.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.6: Gauge Pressure, Absolute Pressure, and Pressure Measurement"	undergraduate	Yes	Pressure concepts and units; Fluid statics; Pascal's principle; Density and specific gravity; Basic algebra; Units and unit conversion; Force and pressure relationship; Understanding of atmospheric pressure	intermediate	5	0.9	Understanding fluid pressure concepts; Converting between pressure units; Relating height to pressure changes; Understanding mercury barometer mechanics; Applying atmospheric pressure principles	understand	0.9	explaining how barometers work; interpreting atmospheric pressure measurements; describing relationships between pressure and height; classifying different types of barometers	NGSS: HS-PS2-6; AP Physics 1: 3.B; AP Physics 2: 5.B.10	Mathematics (strong); Chemistry (strong); Earth Science (strong); History (moderate); Engineering (moderate)
Unit 3	Fluid Mechanics	3.11	Manometers	"Differential measurement.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.6: Gauge Pressure, Absolute Pressure, and Pressure Measurement"	undergraduate	Yes	Pressure concepts and units; Density and specific gravity; Pascal's principle; Hydrostatic pressure; Basic algebra; Vector components; Reading and interpreting graphs/scales	intermediate	6	0.85	Requires understanding of fluid pressure concepts; Involves multiple pressure calculations; Needs visualization of fluid levels; Requires understanding of Pascal's principle; Applications of trigonometry in U-tube calculations	apply	0.85	executing procedures; implementing methods; calculating pressure differences; interpreting measurements	NGSS: HS-PS2-6; AP Physics 2: 2.B.1.1; AP Physics 2: 2.B.1.2	Mathematics (strong); Chemistry (strong); Engineering (strong); Biology (moderate); Earth Science (moderate)
Unit 3	Fluid Mechanics	3.12	Pascal’s Principle	"Pressure transmission.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.5: Pascal’s Principle"	undergraduate	Yes	Basic algebra; Concept of force; Concept of area; Understanding of pressure (force per unit area); Properties of fluids; Basic understanding of density; Vector concepts (force direction); Understanding of hydrostatic pressure	intermediate	6	0.9	"Requires understanding of pressure as force per unit area; Involves fluid mechanics concepts; Requires visualization of pressure transmission in enclosed fluids; Applications involve mathematical calculations; Multiple variables interaction (pressure, force, area)"	understand	0.9	explaining how pressure is transmitted in fluids; interpreting the relationship between force and area; describing practical applications	NGSS: HS-PS2-6; NGSS: HS-PS2-1; AP Physics 2: 2.B.1; AP Physics 2: 2.B.2	Mathematics (strong); Engineering (strong); Biology (moderate); Earth Science (moderate); Chemistry (moderate)
Unit 3	Fluid Mechanics	3.13	Hydraulics	"Pascal’s applications.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.5: Pascal’s Principle"	undergraduate	Yes	Pressure concepts and units; Force and area relationships; Basic fluid properties; Density; Newton's laws of motion; Basic algebra and ratios; States of matter; Understanding of incompressible fluids	intermediate	6	0.85	Requires understanding of pressure and force relationships; Involves mathematical calculations and ratios; Needs visualization of fluid behavior; Applications to real-world mechanical systems; Multiple variables interaction	apply	0.9	implementing; executing; calculating; solving practical problems; demonstrating	NGSS: HS-PS2-1; NGSS: HS-PS2-6; AP Physics 2: 2.B.1	Engineering (strong); Biology (strong); Mathematics (strong); Earth Science (moderate); Architecture (moderate)
Unit 3	Fluid Mechanics	3.14	Archimedes’ Principle	"Buoyant force.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.7: Archimedes’ Principle"	undergraduate	Yes	Forces and Newton's laws; Pressure in fluids; Density; Vector quantities; Basic algebra; Volume and displacement; Weight and mass differences	intermediate	6	0.9	Requires understanding of force and pressure concepts; Involves fluid dynamics principles; Requires visualization of displaced fluid; Includes mathematical calculations with multiple variables; Needs understanding of density relationships	apply	0.9	calculate buoyant force; explain relationships between density and floating; predict object behavior in fluids; solve numerical problems; implement formulas in real-world situations	NGSS: HS-PS2-1; NGSS: HS-PS2-6; AP Physics 1: 3.B.2; AP Physics 2: 5.B.10	Mathematics (strong); Chemistry (strong); Biology (strong); Engineering (strong); Earth Science (moderate); History (weak)
Unit 3	Fluid Mechanics	3.15	Buoyancy Calculations	"Force computations.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.7: Archimedes’ Principle"	undergraduate	Yes	Forces and Newton's Laws; Density concepts; Basic algebra; Volume calculations; Fluid pressure principles; Weight and mass relationship; Vector quantities	intermediate	6	0.9	"Requires understanding of multiple physics concepts (density, force, pressure); Involves 3D spatial reasoning; Needs mathematical skills for calculations; Must consider multiple forces simultaneously; Requires understanding of fluid properties"	apply	0.9	executing calculations; implementing formulas; solving quantitative problems; using mathematical procedures	NGSS: HS-PS2-1; NGSS: HS-PS2-6; AP Physics 1: 3.B.2; AP Physics 2: 3.C.4.2	Mathematics (strong); Chemistry (strong); Biology (moderate); Engineering (strong); Earth Science (moderate)
Unit 3	Fluid Mechanics	3.16	Flotation	"Floating objects.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.7: Archimedes’ Principle"	undergraduate	Yes	Density; Forces and free body diagrams; Newton's laws of motion; Pressure in fluids; Archimedes' principle; Basic algebra; Mass and volume relationships; Understanding of buoyant force	intermediate	6	0.9	Requires understanding of density concepts; Involves multiple forces (buoyant force and weight); Needs mathematical analysis of force balance; Requires understanding of fluid displacement; Applications involve real-world scenarios with multiple variables	apply	0.9	implementing; executing; calculating; determining; solving problems	NGSS: HS-PS2-6; AP Physics 1: 3.B.2; AP Physics 2: 3.C.4.2	Mathematics (strong); Chemistry (strong); Biology (moderate); Engineering (strong); Earth Science (moderate)
Unit 3	Fluid Mechanics	3.17	Submerged Objects	"Submerged buoyancy.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.7: Archimedes’ Principle"	undergraduate	Yes	Density concepts; Force and pressure; Basic fluid properties; Newton's laws of motion; Volume calculations; Basic algebra; Understanding of weight and mass	intermediate	6	0.9	Requires understanding of fluid dynamics concepts; Involves multiple force calculations; Needs visualization of 3D forces; Requires integration of density concepts; Applications involve real-world scenarios with multiple variables	apply	0.9	calculating buoyant forces; implementing Archimedes' principle; solving numerical problems; predicting object behavior; using mathematical formulas	NGSS: HS-PS2-6; AP Physics 1: 3.B.2; AP Physics 2: 3.C.3	Mathematics (strong); Chemistry (strong); Biology (moderate); Engineering (strong); Earth Science (moderate)
Unit 3	Fluid Mechanics	3.18	Surface Tension	"Cohesion, adhesion.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.8: Cohesion and Adhesion in Liquids: Surface Tension and Capillary Activity"	undergraduate	Yes	States of matter; Molecular forces and bonds; Basic atomic structure; Force concepts; Energy concepts; Properties of liquids; Vector quantities	intermediate	6	0.85	Requires understanding of molecular forces; Involves multiple interacting concepts (cohesion vs adhesion); Needs visualization of microscopic phenomena; Applications require connecting multiple physics principles; Mathematical treatment can vary in complexity	understand	0.9	explaining relationships between cohesion and adhesion; describing surface tension phenomena; interpreting molecular interactions; classifying examples of surface tension in daily life	NGSS: HS-PS1-3; NGSS: HS-PS2-6; AP Physics 2: 2.B.1	Chemistry (strong); Biology (strong); Mathematics (moderate); Engineering (strong); Environmental Science (moderate)
Unit 3	Fluid Mechanics	3.19	Capillary Action	"Tube liquid rise.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 11.8: Cohesion and Adhesion in Liquids: Surface Tension and Capillary Activity"	undergraduate	Yes	Surface tension; Adhesion and cohesion forces; Basic fluid properties; Contact angle concepts; Basic pressure concepts; Forces and equilibrium; Basic algebra; Understanding of molecular interactions	intermediate	6	0.85	"Requires understanding of multiple forces (adhesion, cohesion, surface tension); Involves microscopic molecular interactions; Mathematical modeling can be challenging; Connects multiple physics concepts (fluid mechanics, surface phenomena); Requires visualization of unseen molecular forces"	understand	0.9	explaining; describing; interpreting; classifying	NGSS: HS-PS2-6; AP Physics 1: 6.E.3; AP Physics 2: 3.C.4.1	Mathematics (strong); Chemistry (strong); Biology (strong); Earth Science (moderate); Engineering (moderate)
Unit 3	Fluid Mechanics	3.20	Flow Rate	"Volume flow.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 12.1: Flow Rate and Its Relation to Velocity"	undergraduate	Yes	Basic algebra; Volume calculations; Understanding of cross-sectional area; Basic understanding of velocity; Units and unit conversion; Basic fluid properties; Rate of change concepts	intermediate	5	0.9	Requires understanding of volume and rate concepts; Involves mathematical calculations with multiple variables; Needs visualization of fluid motion; Requires basic calculus concepts for some applications; Connects to real-world applications	apply	0.9	calculating flow rates; using mathematical formulas; relating velocity to flow rate; solving quantitative problems	NGSS: HS-PS2-1; AP Physics 1: 5.B.10.1; AP Physics 2: 5.B.10.2	Mathematics (strong); Biology (strong); Engineering (strong); Environmental Science (moderate); Chemistry (moderate); Earth Science (moderate)
Unit 3	Fluid Mechanics	3.21	Continuity Equation	"Mass conservation.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 12.1: Flow Rate and Its Relation to Velocity"	undergraduate	Yes	Basic algebra; Mass and density concepts; Fluid properties; Flow rate concepts; Velocity; Cross-sectional area; Basic calculus (for advanced applications)	intermediate	6	0.9	Requires understanding of fluid dynamics concepts; Involves mathematical manipulation of equations; Needs visualization of flow in different cross-sections; Requires understanding of conservation principles; Application to real-world scenarios can be challenging	apply	0.9	execute calculations; implement equations; solve problems; demonstrate relationships	NGSS: HS-PS3-2; AP Physics: 5.B.10.1; AP Physics: 5.B.10.2	Mathematics (strong); Chemistry (strong); Biology (strong); Environmental Science (moderate); Engineering (strong)
Unit 3	Fluid Mechanics	3.22	Bernoulli’s Equation	"Energy conservation.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 12.2: Bernoulli’s Equation"	undergraduate	Yes	Fluid pressure and density; Kinetic energy; Potential energy; Conservation of energy; Basic calculus (if undergraduate level); Flow rate and continuity equation; Basic vector concepts; Work and energy principles	intermediate	6	0.9	"Requires understanding of multiple physics concepts (pressure, velocity, energy); Involves mathematical manipulation of equations; Requires visualization of fluid flow; Needs prior knowledge of conservation laws; Applications involve real-world scenarios with multiple variables"	apply	0.9	implementing; executing; using; calculating; solving	NGSS: HS-PS3-2; AP Physics 1: 5.B.10.1; AP Physics 1: 5.B.10.2	Mathematics (strong); Biology (strong); Engineering (strong); Earth Science (moderate); Chemistry (moderate)
Unit 3	Fluid Mechanics	3.23	Viscosity Effects	"Fluid friction.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 12.4: Viscosity and Laminar Flow; Poiseuille’s Law"	undergraduate	Yes	"Basic mechanics (forces and motion); Newton's laws of motion; States of matter; Fluid properties (density, pressure); Basic calculus (for college level); Flow rates and fluid motion; Temperature concepts; Basic vector concepts"	intermediate	6	0.85	Requires understanding of multiple fluid concepts; Involves mathematical equations like Poiseuille's Law; Connects microscopic and macroscopic phenomena; Requires visualization of fluid layers and flow patterns; Includes real-world applications that need conceptual understanding	understand	0.85	explaining fluid friction mechanisms; interpreting viscosity effects; describing laminar flow behavior; relating temperature to viscosity	NGSS: HS-PS2-1; NGSS: HS-PS3-2; AP Physics 1: 5.D.1; AP Physics 2: 5.B.10	Mathematics (strong); Chemistry (strong); Biology (strong); Engineering (strong); Earth Science (moderate)
Unit 3	Fluid Mechanics	3.24	Laminar Flow	"Smooth motion.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 12.4: Viscosity and Laminar Flow; Poiseuille’s Law"	undergraduate	Yes	Basic fluid mechanics concepts; Viscosity; Newton's laws of motion; Basic calculus (for college level); Reynolds number; Basic vector mathematics; Pressure and density; Flow rate concepts	intermediate	6	0.85	"Requires understanding of fluid dynamics concepts; Involves mathematical modeling with Poiseuille's Law; Needs visualization of fluid layers; Connects multiple physics concepts (viscosity, pressure, flow rate); Applications require understanding of real-world conditions"	understand	0.8	explaining; describing; interpreting; classifying fluid behavior	NGSS: HS-PS2-1; AP Physics: 5.E.1; AP Physics: 6.A.1	Mathematics (strong); Biology (strong); Engineering (strong); Environmental Science (moderate); Chemistry (moderate)
Unit 3	Fluid Mechanics	3.25	Turbulent Flow	"Chaotic motion.
**Level**: High School, Undergraduate
**Reference**: OpenStax High School Physics, Chapter 11.1: Temperature and Thermal Energy; College Physics 2e, Chapter 12.5: The Onset of Turbulence"	undergraduate	Yes	Laminar flow concepts; Fluid dynamics basics; Reynolds number; Viscosity; Density; Vector analysis; Basic calculus (derivatives); Velocity and flow rate	advanced	8	0.9	Non-linear behavior; Complex mathematical modeling; Multiple interacting variables; Unpredictable nature of chaos; Reynolds number calculations; Three-dimensional fluid dynamics	analyze	0.9	distinguishing patterns; organizing components; deconstruct phenomena; identify relationships; compare flow types	NGSS: HS-PS2-1; NGSS: HS-PS3-2; AP Physics: 5.E.1	Mathematics (strong); Biology (moderate); Environmental Science (strong); Engineering (strong); Computer Science (moderate)
